Area,Date,AveragePrice
Alandur,2022-07,7845768
Alandur,2022-08,8091760
Alandur,2022-09,8137435
Alandur,2022-10,8078963
Alandur,2022-11,7892517
Alandur,2022-12,7938576
Alandur,2023-01,7990344
Alandur,2023-02,7990785
Alandur,2023-03,7897342
Alandur,2023-04,8045372
Alandur,2023-05,7973746
Alandur,2023-06,8075304
Alandur,2023-07,8307354
Alandur,2023-08,8295327
Alandur,2023-09,8206426
Alandur,2023-10,8102406
Alandur,2023-11,8317155
Alandur,2023-12,8444465
Alandur,2024-01,8416405
Alandur,2024-02,8320711
Alandur,2024-03,8628060
Alandur,2024-04,8529474
Alandur,2024-05,8666707
Alandur,2024-06,8552376
Alandur,2024-07,8452095
Alandur,2024-08,8717627
Alandur,2024-09,8538789
Alandur,2024-10,8466204
Alandur,2024-11,8674859
Alandur,2024-12,8376692
Alandur,2025-01,8867731
Alandur,2025-02,8587399
Alandur,2025-03,8808117
Alandur,2025-04,8642189
Alandur,2025-05,8528961
Alandur,2025-06,8865951
Alandur,2025-07,8725583
Alandur,2025-08,8542326
Alandur,2025-09,8897139
Alandur,2025-10,8803706
Alapakkam,2020-01,5049044
Alapakkam,2020-02,5056476
Alapakkam,2020-03,5305809
Alapakkam,2020-04,5224035
Alapakkam,2020-05,5217558
Alapakkam,2020-06,5393187
Alapakkam,2020-07,5225764
Alapakkam,2020-08,5225667
Alapakkam,2020-09,5360831
Alapakkam,2020-10,5335600
Alapakkam,2020-11,5171113
Alapakkam,2020-12,5316584
Alapakkam,2021-01,5502946
Alapakkam,2021-02,5410299
Alapakkam,2021-03,5328667
Alapakkam,2021-04,5295550
Alapakkam,2021-05,5332968
Alapakkam,2021-06,5345418
Alapakkam,2021-07,5349999
Alapakkam,2021-08,5539715
Alapakkam,2021-09,5666858
Alapakkam,2021-10,5588345
Alapakkam,2021-11,5486052
Alapakkam,2021-12,5509314
Alapakkam,2022-01,5712868
Alapakkam,2022-02,5453009
Alapakkam,2022-03,5771684
Alapakkam,2022-04,5750294
Alapakkam,2022-05,5495628
Alapakkam,2022-06,5726723
Alapakkam,2022-07,5753823
Alapakkam,2022-08,5557716
Alapakkam,2022-09,5863337
Alapakkam,2022-10,5648051
Alapakkam,2022-11,5589479
Alapakkam,2022-12,5661766
Alapakkam,2023-01,5619127
Alapakkam,2023-02,5762897
Alapakkam,2023-03,5679359
Alapakkam,2023-04,5937133
Alapakkam,2023-05,5937168
Alapakkam,2023-06,5801103
Alapakkam,2023-07,6001889
Alapakkam,2023-08,5980254
Alapakkam,2023-09,5934414
Alapakkam,2023-10,5986193
Alapakkam,2023-11,5864787
Alapakkam,2023-12,5839304
Alapakkam,2024-01,5807226
Alapakkam,2024-02,6059762
Alapakkam,2024-03,6165269
Alapakkam,2024-04,5994400
Alapakkam,2024-05,6131787
Alapakkam,2024-06,6233244
Alapakkam,2024-07,6096876
Alapakkam,2024-08,6081446
Alapakkam,2024-09,6143356
Alapakkam,2024-10,6069395
Alapakkam,2024-11,6244895
Alapakkam,2024-12,6052367
Alapakkam,2025-01,6193016
Alapakkam,2025-02,6038304
Alapakkam,2025-03,6282386
Alapakkam,2025-04,6371848
Alapakkam,2025-05,6248348
Alapakkam,2025-06,6345065
Alapakkam,2025-07,6314732
Alapakkam,2025-08,6340228
Alapakkam,2025-09,6326794
Alapakkam,2025-10,6451953
Alwarpet,2020-01,10285361
Alwarpet,2020-02,10072607
Alwarpet,2020-03,9885087
Alwarpet,2020-04,9893210
Alwarpet,2020-05,10184306
Alwarpet,2020-06,10256072
Alwarpet,2020-07,10084817
Alwarpet,2020-08,10587431
Alwarpet,2020-09,10589808
Alwarpet,2020-10,10355789
Alwarpet,2020-11,10426209
Alwarpet,2020-12,10182266
Alwarpet,2021-01,10662275
Alwarpet,2021-02,10216940
Alwarpet,2021-03,10713018
Alwarpet,2021-04,10639760
Alwarpet,2021-05,10881124
Alwarpet,2021-06,10651316
Alwarpet,2021-07,10483265
Alwarpet,2021-08,10651827
Alwarpet,2021-09,11036043
Alwarpet,2021-10,10937397
Alwarpet,2021-11,10909936
Alwarpet,2021-12,11072035
Alwarpet,2022-01,11055366
Alwarpet,2022-02,10639787
Alwarpet,2022-03,10713952
Alwarpet,2022-04,11314400
Alwarpet,2022-05,11205055
Alwarpet,2022-06,11159150
Alwarpet,2022-07,11184584
Alwarpet,2022-08,10792902
Alwarpet,2022-09,11134228
Alwarpet,2022-10,10913214
Alwarpet,2022-11,10978726
Alwarpet,2022-12,11098471
Alwarpet,2023-01,11333819
Alwarpet,2023-02,11155093
Alwarpet,2023-03,11537196
Alwarpet,2023-04,11243918
Alwarpet,2023-05,11247411
Alwarpet,2023-06,11294489
Alwarpet,2023-07,11364341
Alwarpet,2023-08,11576959
Alwarpet,2023-09,11446607
Alwarpet,2023-10,11883487
Alwarpet,2023-11,11401986
Alwarpet,2023-12,11630239
Alwarpet,2024-01,11714900
Alwarpet,2024-02,11923859
Alwarpet,2024-03,12116157
Alwarpet,2024-04,11693206
Alwarpet,2024-05,12166318
Alwarpet,2024-06,11988267
Alwarpet,2024-07,11969553
Alwarpet,2024-08,12131871
Alwarpet,2024-09,11816820
Alwarpet,2024-10,11654773
Alwarpet,2024-11,11988583
Alwarpet,2024-12,12273165
Alwarpet,2025-01,12175778
Alwarpet,2025-02,12064618
Alwarpet,2025-03,11929166
Alwarpet,2025-04,11879915
Alwarpet,2025-05,12388714
Alwarpet,2025-06,12416781
Alwarpet,2025-07,12070212
Alwarpet,2025-08,12163623
Alwarpet,2025-09,12098258
Alwarpet,2025-10,12744989
Alwarthirunagar,2020-01,5951472
Alwarthirunagar,2020-02,6114587
Alwarthirunagar,2020-03,5895389
Alwarthirunagar,2020-04,6083727
Alwarthirunagar,2020-05,6179119
Alwarthirunagar,2020-06,6290055
Alwarthirunagar,2020-07,6169801
Alwarthirunagar,2020-08,6005628
Alwarthirunagar,2020-09,6302372
Alwarthirunagar,2020-10,6237299
Alwarthirunagar,2020-11,6235568
Alwarthirunagar,2020-12,6294505
Alwarthirunagar,2021-01,6150217
Alwarthirunagar,2021-02,6107194
Alwarthirunagar,2021-03,6144175
Alwarthirunagar,2021-04,6379086
Alwarthirunagar,2021-05,6455179
Alwarthirunagar,2021-06,6487965
Alwarthirunagar,2021-07,6300439
Alwarthirunagar,2021-08,6398998
Alwarthirunagar,2021-09,6285702
Alwarthirunagar,2021-10,6297271
Alwarthirunagar,2021-11,6393162
Alwarthirunagar,2021-12,6489821
Alwarthirunagar,2022-01,6470119
Alwarthirunagar,2022-02,6588591
Alwarthirunagar,2022-03,6685560
Alwarthirunagar,2022-04,6463431
Alwarthirunagar,2022-05,6640180
Alwarthirunagar,2022-06,6778377
Alwarthirunagar,2022-07,6679023
Alwarthirunagar,2022-08,6514055
Alwarthirunagar,2022-09,6621031
Alwarthirunagar,2022-10,6842796
Alwarthirunagar,2022-11,6822137
Alwarthirunagar,2022-12,6794340
Alwarthirunagar,2023-01,6849319
Alwarthirunagar,2023-02,6960900
Alwarthirunagar,2023-03,6709085
Alwarthirunagar,2023-04,6699703
Alwarthirunagar,2023-05,6836305
Alwarthirunagar,2023-06,6986449
Alwarthirunagar,2023-07,6836506
Alwarthirunagar,2023-08,6959522
Alwarthirunagar,2023-09,6958591
Alwarthirunagar,2023-10,6885845
Alwarthirunagar,2023-11,7128565
Alwarthirunagar,2023-12,7066635
Alwarthirunagar,2024-01,6876958
Alwarthirunagar,2024-02,6916078
Alwarthirunagar,2024-03,7236900
Alwarthirunagar,2024-04,7228691
Alwarthirunagar,2024-05,7000457
Alwarthirunagar,2024-06,7002487
Alwarthirunagar,2024-07,7263359
Alwarthirunagar,2024-08,7288577
Alwarthirunagar,2024-09,7175164
Alwarthirunagar,2024-10,7006235
Alwarthirunagar,2024-11,7176220
Alwarthirunagar,2024-12,7149642
Alwarthirunagar,2025-01,7053218
Alwarthirunagar,2025-02,7077731
Alwarthirunagar,2025-03,7107511
Alwarthirunagar,2025-04,7166084
Alwarthirunagar,2025-05,7103589
Alwarthirunagar,2025-06,7503728
Alwarthirunagar,2025-07,7410924
Alwarthirunagar,2025-08,7168229
Alwarthirunagar,2025-09,7304090
Alwarthirunagar,2025-10,7596766
Ambattur,2020-01,4108300
Ambattur,2020-02,4028689
Ambattur,2020-03,4156012
Ambattur,2020-04,3999909
Ambattur,2020-05,4118039
Ambattur,2020-06,4097656
Ambattur,2020-07,4133955
Ambattur,2020-08,4198028
Ambattur,2020-09,4049835
Ambattur,2020-10,4064113
Ambattur,2020-11,4239125
Ambattur,2020-12,4264835
Ambattur,2021-01,4175369
Ambattur,2021-02,4172800
Ambattur,2021-03,4144854
Ambattur,2021-04,4160887
Ambattur,2021-05,4356790
Ambattur,2021-06,4318783
Ambattur,2021-07,4241278
Ambattur,2021-08,4269691
Ambattur,2021-09,4229031
Ambattur,2021-10,4409875
Ambattur,2021-11,4388049
Ambattur,2021-12,4317775
Ambattur,2022-01,4412076
Ambattur,2022-02,4457612
Ambattur,2022-03,4462698
Ambattur,2022-04,4428953
Ambattur,2022-05,4405417
Ambattur,2022-06,4524928
Ambattur,2022-07,4486300
Ambattur,2022-08,4558434
Ambattur,2022-09,4412451
Ambattur,2022-10,4422908
Ambattur,2022-11,4603318
Ambattur,2022-12,4616087
Ambattur,2023-01,4420579
Ambattur,2023-02,4530477
Ambattur,2023-03,4490002
Ambattur,2023-04,4641338
Ambattur,2023-05,4569586
Ambattur,2023-06,4531159
Ambattur,2023-07,4706566
Ambattur,2023-08,4684927
Ambattur,2023-09,4517463
Ambattur,2023-10,4558534
Ambattur,2023-11,4658924
Ambattur,2023-12,4566400
Ambattur,2024-01,4644814
Ambattur,2024-02,4661004
Ambattur,2024-03,4569968
Ambattur,2024-04,4661736
Ambattur,2024-05,4726845
Ambattur,2024-06,4781165
Ambattur,2024-07,4756049
Ambattur,2024-08,4829470
Ambattur,2024-09,4782895
Ambattur,2024-10,4755566
Ambattur,2024-11,4686261
Ambattur,2024-12,4712166
Ambattur,2025-01,4919363
Ambattur,2025-02,4804674
Ambattur,2025-03,4801084
Ambattur,2025-04,5008851
Ambattur,2025-05,4829514
Ambattur,2025-06,4809003
Ambattur,2025-07,4974830
Ambattur,2025-08,4862893
Ambattur,2025-09,4796592
Ambattur,2025-10,5073251
Aminjikarai,2020-01,6349950
Aminjikarai,2020-02,6196493
Aminjikarai,2020-03,6302645
Aminjikarai,2020-04,6106417
Aminjikarai,2020-05,6424858
Aminjikarai,2020-06,6273352
Aminjikarai,2020-07,6283520
Aminjikarai,2020-08,6282127
Aminjikarai,2020-09,6325841
Aminjikarai,2020-10,6429634
Aminjikarai,2020-11,6520062
Aminjikarai,2020-12,6326171
Aminjikarai,2021-01,6590007
Aminjikarai,2021-02,6409591
Aminjikarai,2021-03,6382287
Aminjikarai,2021-04,6419488
Aminjikarai,2021-05,6441878
Aminjikarai,2021-06,6653150
Aminjikarai,2021-07,6720436
Aminjikarai,2021-08,6706385
Aminjikarai,2021-09,6417992
Aminjikarai,2021-10,6434601
Aminjikarai,2021-11,6450899
Aminjikarai,2021-12,6852185
Aminjikarai,2022-01,6721150
Aminjikarai,2022-02,6811445
Aminjikarai,2022-03,6682772
Aminjikarai,2022-04,6680414
Aminjikarai,2022-05,6791077
Aminjikarai,2022-06,6632260
Aminjikarai,2022-07,6910620
Aminjikarai,2022-08,7008111
Aminjikarai,2022-09,7003802
Aminjikarai,2022-10,6919932
Aminjikarai,2022-11,6789104
Aminjikarai,2022-12,6837365
Aminjikarai,2023-01,6733636
Aminjikarai,2023-02,6869909
Aminjikarai,2023-03,6870694
Aminjikarai,2023-04,7011609
Aminjikarai,2023-05,6933607
Aminjikarai,2023-06,7218345
Aminjikarai,2023-07,7016785
Aminjikarai,2023-08,7040969
Aminjikarai,2023-09,7253173
Aminjikarai,2023-10,7274371
Aminjikarai,2023-11,7085227
Aminjikarai,2023-12,7223661
Aminjikarai,2024-01,7323135
Aminjikarai,2024-02,7239097
Aminjikarai,2024-03,7008532
Aminjikarai,2024-04,7036777
Aminjikarai,2024-05,7116746
Aminjikarai,2024-06,7446605
Aminjikarai,2024-07,7339369
Aminjikarai,2024-08,7232773
Aminjikarai,2024-09,7272572
Aminjikarai,2024-10,7534960
Aminjikarai,2024-11,7588067
Aminjikarai,2024-12,7191276
Aminjikarai,2025-01,7373941
Aminjikarai,2025-02,7302027
Aminjikarai,2025-03,7451685
Aminjikarai,2025-04,7563798
Aminjikarai,2025-05,7465306
Aminjikarai,2025-06,7713458
Aminjikarai,2025-07,7330328
Aminjikarai,2025-08,7767526
Aminjikarai,2025-09,7554457
Aminjikarai,2025-10,7434904
Anna Nagar,2020-01,7334971
Anna Nagar,2020-02,7359853
Anna Nagar,2020-03,7140118
Anna Nagar,2020-04,7116950
Anna Nagar,2020-05,7331135
Anna Nagar,2020-06,7301855
Anna Nagar,2020-07,7354073
Anna Nagar,2020-08,7513390
Anna Nagar,2020-09,7371362
Anna Nagar,2020-10,7600110
Anna Nagar,2020-11,7594471
Anna Nagar,2020-12,7400883
Anna Nagar,2021-01,7378435
Anna Nagar,2021-02,7291199
Anna Nagar,2021-03,7656479
Anna Nagar,2021-04,7414563
Anna Nagar,2021-05,7424513
Anna Nagar,2021-06,7621423
Anna Nagar,2021-07,7679070
Anna Nagar,2021-08,7456285
Anna Nagar,2021-09,7663792
Anna Nagar,2021-10,7539253
Anna Nagar,2021-11,7836477
Anna Nagar,2021-12,7922007
Anna Nagar,2022-01,7755782
Anna Nagar,2022-02,7595212
Anna Nagar,2022-03,7987457
Anna Nagar,2022-04,7764911
Anna Nagar,2022-05,7630034
Anna Nagar,2022-06,8110347
Anna Nagar,2022-07,8092433
Anna Nagar,2022-08,7801799
Anna Nagar,2022-09,7850400
Anna Nagar,2022-10,7973194
Anna Nagar,2022-11,8192170
Anna Nagar,2022-12,7977772
Anna Nagar,2023-01,8131941
Anna Nagar,2023-02,8028921
Anna Nagar,2023-03,8249068
Anna Nagar,2023-04,8180983
Anna Nagar,2023-05,8118426
Anna Nagar,2023-06,8282199
Anna Nagar,2023-07,8384292
Anna Nagar,2023-08,8268889
Anna Nagar,2023-09,8232517
Anna Nagar,2023-10,8209544
Anna Nagar,2023-11,8156892
Anna Nagar,2023-12,8076697
Anna Nagar,2024-01,8397578
Anna Nagar,2024-02,8564764
Anna Nagar,2024-03,8638898
Anna Nagar,2024-04,8450386
Anna Nagar,2024-05,8662187
Anna Nagar,2024-06,8540481
Anna Nagar,2024-07,8626665
Anna Nagar,2024-08,8757671
Anna Nagar,2024-09,8411321
Anna Nagar,2024-10,8808957
Anna Nagar,2024-11,8349030
Anna Nagar,2024-12,8464442
Anna Nagar,2025-01,8636701
Anna Nagar,2025-02,8647426
Anna Nagar,2025-03,8802425
Anna Nagar,2025-04,8613359
Anna Nagar,2025-05,8672407
Anna Nagar,2025-06,8715769
Anna Nagar,2025-07,9021331
Anna Nagar,2025-08,8856573
Anna Nagar,2025-09,8912159
Anna Nagar,2025-10,8907915
Annanur,2020-01,4038205
Annanur,2020-02,4048939
Annanur,2020-03,4069214
Annanur,2020-04,4139830
Annanur,2020-05,4219603
Annanur,2020-06,4266196
Annanur,2020-07,4281168
Annanur,2020-08,4214335
Annanur,2020-09,4267171
Annanur,2020-10,4261177
Annanur,2020-11,4315540
Annanur,2020-12,4330026
Annanur,2021-01,4187402
Annanur,2021-02,4175354
Annanur,2021-03,4346039
Annanur,2021-04,4368981
Annanur,2021-05,4242570
Annanur,2021-06,4416286
Annanur,2021-07,4371549
Annanur,2021-08,4455402
Annanur,2021-09,4501368
Annanur,2021-10,4488136
Annanur,2021-11,4547036
Annanur,2021-12,4365730
Annanur,2022-01,4364204
Annanur,2022-02,4382486
Annanur,2022-03,4373764
Annanur,2022-04,4573363
Annanur,2022-05,4377031
Annanur,2022-06,4430385
Annanur,2022-07,4433121
Annanur,2022-08,4572359
Annanur,2022-09,4577351
Annanur,2022-10,4468361
Annanur,2022-11,4490812
Annanur,2022-12,4573558
Annanur,2023-01,4730655
Annanur,2023-02,4580133
Annanur,2023-03,4581211
Annanur,2023-04,4720815
Annanur,2023-05,4552056
Annanur,2023-06,4784008
Annanur,2023-07,4605169
Annanur,2023-08,4810279
Annanur,2023-09,4718634
Annanur,2023-10,4742175
Annanur,2023-11,4629685
Annanur,2023-12,4826227
Annanur,2024-01,4816327
Annanur,2024-02,4670398
Annanur,2024-03,4767044
Annanur,2024-04,4876941
Annanur,2024-05,4868915
Annanur,2024-06,4733787
Annanur,2024-07,4954231
Annanur,2024-08,4810444
Annanur,2024-09,5006556
Annanur,2024-10,5045253
Annanur,2024-11,4997976
Annanur,2024-12,4805815
Annanur,2025-01,5011330
Annanur,2025-02,5070225
Annanur,2025-03,4825175
Annanur,2025-04,5036853
Annanur,2025-05,4941064
Annanur,2025-06,5100534
Annanur,2025-07,4983236
Annanur,2025-08,4998438
Annanur,2025-09,5023193
Annanur,2025-10,5061415
Arumbakkam,2020-01,6010537
Arumbakkam,2020-02,6321032
Arumbakkam,2020-03,6389178
Arumbakkam,2020-04,6319434
Arumbakkam,2020-05,6367744
Arumbakkam,2020-06,6414715
Arumbakkam,2020-07,6469826
Arumbakkam,2020-08,6389084
Arumbakkam,2020-09,6425157
Arumbakkam,2020-10,6341052
Arumbakkam,2020-11,6357524
Arumbakkam,2020-12,6286332
Arumbakkam,2021-01,6487704
Arumbakkam,2021-02,6500659
Arumbakkam,2021-03,6292423
Arumbakkam,2021-04,6496932
Arumbakkam,2021-05,6332636
Arumbakkam,2021-06,6589891
Arumbakkam,2021-07,6517923
Arumbakkam,2021-08,6574276
Arumbakkam,2021-09,6649257
Arumbakkam,2021-10,6521059
Arumbakkam,2021-11,6806374
Arumbakkam,2021-12,6773051
Arumbakkam,2022-01,6665300
Arumbakkam,2022-02,6884929
Arumbakkam,2022-03,6708971
Arumbakkam,2022-04,6536852
Arumbakkam,2022-05,6924299
Arumbakkam,2022-06,6958680
Arumbakkam,2022-07,6603555
Arumbakkam,2022-08,6746863
Arumbakkam,2022-09,6689152
Arumbakkam,2022-10,6731291
Arumbakkam,2022-11,6728945
Arumbakkam,2022-12,6824173
Arumbakkam,2023-01,6757301
Arumbakkam,2023-02,7133765
Arumbakkam,2023-03,6793027
Arumbakkam,2023-04,7184760
Arumbakkam,2023-05,7193571
Arumbakkam,2023-06,6826406
Arumbakkam,2023-07,6966513
Arumbakkam,2023-08,7086501
Arumbakkam,2023-09,7052857
Arumbakkam,2023-10,7063404
Arumbakkam,2023-11,7091330
Arumbakkam,2023-12,7337607
Arumbakkam,2024-01,7129756
Arumbakkam,2024-02,7153851
Arumbakkam,2024-03,7401024
Arumbakkam,2024-04,7129639
Arumbakkam,2024-05,7214986
Arumbakkam,2024-06,7272011
Arumbakkam,2024-07,7327822
Arumbakkam,2024-08,7276532
Arumbakkam,2024-09,7115961
Arumbakkam,2024-10,7547647
Arumbakkam,2024-11,7358762
Arumbakkam,2024-12,7300546
Arumbakkam,2025-01,7477317
Arumbakkam,2025-02,7641038
Arumbakkam,2025-03,7403861
Arumbakkam,2025-04,7625556
Arumbakkam,2025-05,7425123
Arumbakkam,2025-06,7630378
Arumbakkam,2025-07,7637565
Arumbakkam,2025-08,7495547
Arumbakkam,2025-09,7728486
Arumbakkam,2025-10,7579201
Ashok Nagar,2020-01,6216844
Ashok Nagar,2020-02,6179127
Ashok Nagar,2020-03,5950271
Ashok Nagar,2020-04,6202053
Ashok Nagar,2020-05,6248903
Ashok Nagar,2020-06,6105172
Ashok Nagar,2020-07,6231226
Ashok Nagar,2020-08,6234428
Ashok Nagar,2020-09,6035815
Ashok Nagar,2020-10,6349110
Ashok Nagar,2020-11,6095550
Ashok Nagar,2020-12,6176195
Ashok Nagar,2021-01,6377913
Ashok Nagar,2021-02,6185560
Ashok Nagar,2021-03,6392060
Ashok Nagar,2021-04,6448811
Ashok Nagar,2021-05,6265526
Ashok Nagar,2021-06,6244968
Ashok Nagar,2021-07,6582096
Ashok Nagar,2021-08,6468836
Ashok Nagar,2021-09,6579668
Ashok Nagar,2021-10,6614913
Ashok Nagar,2021-11,6616810
Ashok Nagar,2021-12,6624608
Ashok Nagar,2022-01,6555232
Ashok Nagar,2022-02,6397917
Ashok Nagar,2022-03,6735222
Ashok Nagar,2022-04,6673239
Ashok Nagar,2022-05,6568723
Ashok Nagar,2022-06,6798347
Ashok Nagar,2022-07,6503737
Ashok Nagar,2022-08,6843714
Ashok Nagar,2022-09,6659503
Ashok Nagar,2022-10,6664722
Ashok Nagar,2022-11,6821554
Ashok Nagar,2022-12,6731845
Ashok Nagar,2023-01,6683356
Ashok Nagar,2023-02,6902081
Ashok Nagar,2023-03,6633513
Ashok Nagar,2023-04,6655989
Ashok Nagar,2023-05,6777864
Ashok Nagar,2023-06,6941793
Ashok Nagar,2023-07,6787735
Ashok Nagar,2023-08,6929010
Ashok Nagar,2023-09,6728502
Ashok Nagar,2023-10,7026538
Ashok Nagar,2023-11,6804420
Ashok Nagar,2023-12,7114169
Ashok Nagar,2024-01,7078395
Ashok Nagar,2024-02,6840706
Ashok Nagar,2024-03,6846372
Ashok Nagar,2024-04,6926229
Ashok Nagar,2024-05,7123267
Ashok Nagar,2024-06,7099026
Ashok Nagar,2024-07,7229383
Ashok Nagar,2024-08,7273671
Ashok Nagar,2024-09,7009311
Ashok Nagar,2024-10,7052455
Ashok Nagar,2024-11,7405488
Ashok Nagar,2024-12,7101435
Ashok Nagar,2025-01,7219501
Ashok Nagar,2025-02,7146453
Ashok Nagar,2025-03,7464579
Ashok Nagar,2025-04,7366373
Ashok Nagar,2025-05,7166100
Ashok Nagar,2025-06,7438610
Ashok Nagar,2025-07,7453003
Ashok Nagar,2025-08,7170053
Ashok Nagar,2025-09,7476647
Ashok Nagar,2025-10,7524037
Avadi,2020-01,4274545
Avadi,2020-02,4246145
Avadi,2020-03,4226668
Avadi,2020-04,4273485
Avadi,2020-05,4236938
Avadi,2020-06,4234290
Avadi,2020-07,4301890
Avadi,2020-08,4332073
Avadi,2020-09,4241233
Avadi,2020-10,4242739
Avadi,2020-11,4241082
Avadi,2020-12,4413271
Avadi,2021-01,4284283
Avadi,2021-02,4420117
Avadi,2021-03,4322695
Avadi,2021-04,4326009
Avadi,2021-05,4460337
Avadi,2021-06,4385811
Avadi,2021-07,4441331
Avadi,2021-08,4525582
Avadi,2021-09,4526088
Avadi,2021-10,4396715
Avadi,2021-11,4410083
Avadi,2021-12,4590637
Avadi,2022-01,4592989
Avadi,2022-02,4543336
Avadi,2022-03,4424969
Avadi,2022-04,4644158
Avadi,2022-05,4667934
Avadi,2022-06,4615948
Avadi,2022-07,4676805
Avadi,2022-08,4679195
Avadi,2022-09,4657511
