Area,Date,AvailablePlots
Alandur,2024-10,4
Alandur,2024-11,4
Alandur,2024-12,4
Alandur,2025-01,4
Alandur,2025-02,4
Alandur,2025-03,4
Alandur,2025-04,4
Alandur,2025-05,4
Alandur,2025-06,4
Alandur,2025-07,5
Alandur,2025-08,4
Alandur,2025-09,4
Alandur,2025-10,4
Alapakkam,2023-01,10
Alapakkam,2023-02,10
Alapakkam,2023-03,10
Alapakkam,2023-04,9
Alapakkam,2023-05,8
Alapakkam,2023-06,7
Alapakkam,2023-07,6
Alapakkam,2023-08,6
Alapakkam,2023-09,6
Alapakkam,2023-10,5
Alapakkam,2023-11,4
Alapakkam,2023-12,5
Alapakkam,2024-01,5
Alapakkam,2024-02,4
Alapakkam,2024-03,4
Alapakkam,2024-04,5
Alapakkam,2024-05,4
Alapakkam,2024-06,4
Alapakkam,2024-07,4
Alapakkam,2024-08,4
Alapakkam,2024-09,5
Alapakkam,2024-10,4
Alapakkam,2024-11,5
Alapakkam,2024-12,4
Alapakkam,2025-01,4
Alapakkam,2025-02,4
Alapakkam,2025-03,4
Alapakkam,2025-04,4
Alapakkam,2025-05,4
Alapakkam,2025-06,4
Alapakkam,2025-07,4
Alapakkam,2025-08,4
Alapakkam,2025-09,5
Alapakkam,2025-10,4
Alwarpet,2023-01,9
Alwarpet,2023-02,8
Alwarpet,2023-03,7
Alwarpet,2023-04,7
Alwarpet,2023-05,6
Alwarpet,2023-06,5
Alwarpet,2023-07,4
Alwarpet,2023-08,4
Alwarpet,2023-09,4
Alwarpet,2023-10,5
Alwarpet,2023-11,4
Alwarpet,2023-12,4
Alwarpet,2024-01,5
Alwarpet,2024-02,5
Alwarpet,2024-03,4
Alwarpet,2024-04,4
Alwarpet,2024-05,5
Alwarpet,2024-06,4
Alwarpet,2024-07,4
Alwarpet,2024-08,5
Alwarpet,2024-09,4
Alwarpet,2024-10,4
Alwarpet,2024-11,4
Alwarpet,2024-12,4
Alwarpet,2025-01,4
Alwarpet,2025-02,5
Alwarpet,2025-03,4
Alwarpet,2025-04,4
Alwarpet,2025-05,4
Alwarpet,2025-06,4
Alwarpet,2025-07,4
Alwarpet,2025-08,4
Alwarpet,2025-09,4
Alwarpet,2025-10,4
Alwarthirunagar,2023-01,9
Alwarthirunagar,2023-02,9
Alwarthirunagar,2023-03,9
Alwarthirunagar,2023-04,8
Alwarthirunagar,2023-05,7
Alwarthirunagar,2023-06,6
Alwarthirunagar,2023-07,5
Alwarthirunagar,2023-08,4
Alwarthirunagar,2023-09,5
Alwarthirunagar,2023-10,5
Alwarthirunagar,2023-11,4
Alwarthirunagar,2023-12,4
Alwarthirunagar,2024-01,5
Alwarthirunagar,2024-02,5
Alwarthirunagar,2024-03,4
Alwarthirunagar,2024-04,5
Alwarthirunagar,2024-05,4
Alwarthirunagar,2024-06,4
Alwarthirunagar,2024-07,4
Alwarthirunagar,2024-08,4
Alwarthirunagar,2024-09,5
Alwarthirunagar,2024-10,4
Alwarthirunagar,2024-11,5
Alwarthirunagar,2024-12,4
Alwarthirunagar,2025-01,4
Alwarthirunagar,2025-02,4
Alwarthirunagar,2025-03,5
Alwarthirunagar,2025-04,4
Alwarthirunagar,2025-05,4
Alwarthirunagar,2025-06,4
Alwarthirunagar,2025-07,4
Alwarthirunagar,2025-08,4
Alwarthirunagar,2025-09,4
Alwarthirunagar,2025-10,4
Ambattur,2023-01,16
Ambattur,2023-02,14
Ambattur,2023-03,13
Ambattur,2023-04,13
Ambattur,2023-05,12
Ambattur,2023-06,12
Ambattur,2023-07,12
Ambattur,2023-08,11
Ambattur,2023-09,10
Ambattur,2023-10,10
Ambattur,2023-11,10
Ambattur,2023-12,10
Ambattur,2024-01,10
Ambattur,2024-02,10
Ambattur,2024-03,9
Ambattur,2024-04,9
Ambattur,2024-05,9
Ambattur,2024-06,9
Ambattur,2024-07,8
Ambattur,2024-08,7
Ambattur,2024-09,6
Ambattur,2024-10,5
Ambattur,2024-11,4
Ambattur,2024-12,4
Ambattur,2025-01,4
Ambattur,2025-02,4
Ambattur,2025-03,5
Ambattur,2025-04,5
Ambattur,2025-05,4
Ambattur,2025-06,5
Ambattur,2025-07,4
Ambattur,2025-08,4
Ambattur,2025-09,4
Ambattur,2025-10,4
Aminjikarai,2023-01,9
Aminjikarai,2023-02,9
Aminjikarai,2023-03,8
Aminjikarai,2023-04,7
Aminjikarai,2023-05,6
Aminjikarai,2023-06,5
Aminjikarai,2023-07,4
Aminjikarai,2023-08,5
Aminjikarai,2023-09,5
Aminjikarai,2023-10,5
Aminjikarai,2023-11,5
Aminjikarai,2023-12,4
Aminjikarai,2024-01,5
Aminjikarai,2024-02,5
Aminjikarai,2024-03,5
Aminjikarai,2024-04,4
Aminjikarai,2024-05,5
Aminjikarai,2024-06,4
Aminjikarai,2024-07,4
Aminjikarai,2024-08,4
Aminjikarai,2024-09,4
Aminjikarai,2024-10,4
Aminjikarai,2024-11,4
Aminjikarai,2024-12,4
Aminjikarai,2025-01,4
Aminjikarai,2025-02,4
Aminjikarai,2025-03,4
Aminjikarai,2025-04,4
Aminjikarai,2025-05,4
Aminjikarai,2025-06,4
Aminjikarai,2025-07,4
Aminjikarai,2025-08,4
Aminjikarai,2025-09,4
Aminjikarai,2025-10,4
Anna Nagar,2023-01,9
Anna Nagar,2023-02,8
Anna Nagar,2023-03,7
Anna Nagar,2023-04,6
Anna Nagar,2023-05,6
Anna Nagar,2023-06,5
Anna Nagar,2023-07,5
Anna Nagar,2023-08,4
Anna Nagar,2023-09,4
Anna Nagar,2023-10,4
Anna Nagar,2023-11,4
Anna Nagar,2023-12,5
Anna Nagar,2024-01,5
Anna Nagar,2024-02,5
Anna Nagar,2024-03,4
Anna Nagar,2024-04,4
Anna Nagar,2024-05,4
Anna Nagar,2024-06,4
Anna Nagar,2024-07,4
Anna Nagar,2024-08,5
Anna Nagar,2024-09,4
Anna Nagar,2024-10,4
Anna Nagar,2024-11,5
Anna Nagar,2024-12,4
Anna Nagar,2025-01,5
Anna Nagar,2025-02,5
Anna Nagar,2025-03,4
Anna Nagar,2025-04,4
Anna Nagar,2025-05,4
Anna Nagar,2025-06,4
Anna Nagar,2025-07,4
Anna Nagar,2025-08,4
Anna Nagar,2025-09,4
Anna Nagar,2025-10,4
Annanur,2023-01,12
Annanur,2023-02,11
Annanur,2023-03,11
Annanur,2023-04,10
Annanur,2023-05,9
Annanur,2023-06,8
Annanur,2023-07,8
Annanur,2023-08,8
Annanur,2023-09,7
Annanur,2023-10,6
Annanur,2023-11,6
Annanur,2023-12,5
Annanur,2024-01,5
Annanur,2024-02,5
Annanur,2024-03,4
Annanur,2024-04,4
Annanur,2024-05,4
Annanur,2024-06,4
Annanur,2024-07,4
Annanur,2024-08,4
Annanur,2024-09,5
Annanur,2024-10,5
Annanur,2024-11,4
Annanur,2024-12,5
Annanur,2025-01,4
Annanur,2025-02,4
Annanur,2025-03,4
Annanur,2025-04,5
Annanur,2025-05,4
Annanur,2025-06,4
Annanur,2025-07,4
Annanur,2025-08,4
Annanur,2025-09,4
Annanur,2025-10,4
Arumbakkam,2023-01,10
Arumbakkam,2023-02,9
Arumbakkam,2023-03,9
Arumbakkam,2023-04,8
Arumbakkam,2023-05,7
Arumbakkam,2023-06,6
Arumbakkam,2023-07,5
Arumbakkam,2023-08,4
Arumbakkam,2023-09,4
Arumbakkam,2023-10,4
Arumbakkam,2023-11,4
Arumbakkam,2023-12,4
Arumbakkam,2024-01,4
Arumbakkam,2024-02,5
Arumbakkam,2024-03,5
Arumbakkam,2024-04,4
Arumbakkam,2024-05,4
Arumbakkam,2024-06,4
Arumbakkam,2024-07,5
Arumbakkam,2024-08,4
Arumbakkam,2024-09,4
Arumbakkam,2024-10,4
Arumbakkam,2024-11,4
Arumbakkam,2024-12,4
Arumbakkam,2025-01,5
Arumbakkam,2025-02,5
Arumbakkam,2025-03,4
Arumbakkam,2025-04,5
Arumbakkam,2025-05,4
Arumbakkam,2025-06,4
Arumbakkam,2025-07,4
Arumbakkam,2025-08,5
Arumbakkam,2025-09,4
Arumbakkam,2025-10,4
Ashok Nagar,2023-01,9
Ashok Nagar,2023-02,9
Ashok Nagar,2023-03,9
Ashok Nagar,2023-04,9
Ashok Nagar,2023-05,8
Ashok Nagar,2023-06,7
Ashok Nagar,2023-07,7
Ashok Nagar,2023-08,7
Ashok Nagar,2023-09,6
Ashok Nagar,2023-10,5
Ashok Nagar,2023-11,4
Ashok Nagar,2023-12,5
Ashok Nagar,2024-01,4
Ashok Nagar,2024-02,4
Ashok Nagar,2024-03,4
Ashok Nagar,2024-04,4
Ashok Nagar,2024-05,4
Ashok Nagar,2024-06,5
Ashok Nagar,2024-07,5
Ashok Nagar,2024-08,4
Ashok Nagar,2024-09,5
Ashok Nagar,2024-10,4
Ashok Nagar,2024-11,5
Ashok Nagar,2024-12,4
Ashok Nagar,2025-01,4
Ashok Nagar,2025-02,4
Ashok Nagar,2025-03,4
Ashok Nagar,2025-04,4
Ashok Nagar,2025-05,4
Ashok Nagar,2025-06,4
Ashok Nagar,2025-07,4
Ashok Nagar,2025-08,4
Ashok Nagar,2025-09,4
Ashok Nagar,2025-10,4
Avadi,2023-01,20
Avadi,2023-02,19
Avadi,2023-03,19
Avadi,2023-04,19
Avadi,2023-05,18
Avadi,2023-06,17
Avadi,2023-07,15
Avadi,2023-08,15
Avadi,2023-09,15
Avadi,2023-10,15
Avadi,2023-11,14
Avadi,2023-12,12
Avadi,2024-01,12
Avadi,2024-02,11
Avadi,2024-03,10
Avadi,2024-04,9
Avadi,2024-05,8
Avadi,2024-06,7
Avadi,2024-07,6
Avadi,2024-08,5
Avadi,2024-09,4
Avadi,2024-10,4
Avadi,2024-11,4
Avadi,2024-12,4
Avadi,2025-01,4
Avadi,2025-02,4
Avadi,2025-03,4
Avadi,2025-04,4
Avadi,2025-05,4
Avadi,2025-06,4
Avadi,2025-07,5
Avadi,2025-08,4
Avadi,2025-09,5
Avadi,2025-10,4
Ayanavaram,2023-01,9
Ayanavaram,2023-02,8
Ayanavaram,2023-03,8
Ayanavaram,2023-04,7
Ayanavaram,2023-05,7
Ayanavaram,2023-06,7
Ayanavaram,2023-07,6
Ayanavaram,2023-08,5
Ayanavaram,2023-09,5
Ayanavaram,2023-10,4
Ayanavaram,2023-11,5
Ayanavaram,2023-12,4
Ayanavaram,2024-01,4
Ayanavaram,2024-02,4
Ayanavaram,2024-03,4
Ayanavaram,2024-04,4
Ayanavaram,2024-05,4
Ayanavaram,2024-06,4
Ayanavaram,2024-07,5
Ayanavaram,2024-08,4
Ayanavaram,2024-09,5
Ayanavaram,2024-10,4
Ayanavaram,2024-11,4
Ayanavaram,2024-12,4
Ayanavaram,2025-01,4
Ayanavaram,2025-02,4
Ayanavaram,2025-03,5
Ayanavaram,2025-04,4
Ayanavaram,2025-05,4
Ayanavaram,2025-06,4
Ayanavaram,2025-07,4
Ayanavaram,2025-08,4
Ayanavaram,2025-09,4
Ayanavaram,2025-10,5
Beemannapettai,2023-01,10
Beemannapettai,2023-02,9
Beemannapettai,2023-03,9
Beemannapettai,2023-04,8
Beemannapettai,2023-05,8
Beemannapettai,2023-06,7
Beemannapettai,2023-07,7
Beemannapettai,2023-08,7
Beemannapettai,2023-09,7
Beemannapettai,2023-10,6
Beemannapettai,2023-11,6
Beemannapettai,2023-12,6
Beemannapettai,2024-01,5
Beemannapettai,2024-02,4
Beemannapettai,2024-03,5
Beemannapettai,2024-04,4
Beemannapettai,2024-05,4
Beemannapettai,2024-06,4
Beemannapettai,2024-07,5
Beemannapettai,2024-08,4
Beemannapettai,2024-09,5
Beemannapettai,2024-10,5
Beemannapettai,2024-11,4
Beemannapettai,2024-12,5
Beemannapettai,2025-01,4
Beemannapettai,2025-02,4
Beemannapettai,2025-03,4
Beemannapettai,2025-04,5
Beemannapettai,2025-05,4
Beemannapettai,2025-06,4
Beemannapettai,2025-07,4
Beemannapettai,2025-08,4
Beemannapettai,2025-09,4
Beemannapettai,2025-10,4
Besant Nagar,2023-01,9
Besant Nagar,2023-02,9
Besant Nagar,2023-03,9
Besant Nagar,2023-04,9
Besant Nagar,2023-05,8
Besant Nagar,2023-06,7
Besant Nagar,2023-07,7
Besant Nagar,2023-08,6
Besant Nagar,2023-09,5
Besant Nagar,2023-10,4
Besant Nagar,2023-11,4
Besant Nagar,2023-12,5
Besant Nagar,2024-01,4
Besant Nagar,2024-02,5
Besant Nagar,2024-03,5
Besant Nagar,2024-04,4
Besant Nagar,2024-05,5
Besant Nagar,2024-06,5
Besant Nagar,2024-07,4
Besant Nagar,2024-08,4
Besant Nagar,2024-09,4
Besant Nagar,2024-10,5
Besant Nagar,2024-11,4
Besant Nagar,2024-12,4
Besant Nagar,2025-01,4
Besant Nagar,2025-02,4
Besant Nagar,2025-03,4
Besant Nagar,2025-04,4
Besant Nagar,2025-05,4
Besant Nagar,2025-06,4
Besant Nagar,2025-07,4
Besant Nagar,2025-08,4
Besant Nagar,2025-09,4
Besant Nagar,2025-10,4
Basin Bridge,2023-01,9
Basin Bridge,2023-02,9
Basin Bridge,2023-03,8
Basin Bridge,2023-04,8
Basin Bridge,2023-05,8
Basin Bridge,2023-06,7
Basin Bridge,2023-07,7
Basin Bridge,2023-08,6
Basin Bridge,2023-09,6
Basin Bridge,2023-10,6
Basin Bridge,2023-11,5
Basin Bridge,2023-12,5
Basin Bridge,2024-01,4
Basin Bridge,2024-02,4
Basin Bridge,2024-03,4
Basin Bridge,2024-04,4
Basin Bridge,2024-05,4
Basin Bridge,2024-06,4
Basin Bridge,2024-07,4
Basin Bridge,2024-08,5
Basin Bridge,2024-09,4
Basin Bridge,2024-10,4
Basin Bridge,2024-11,4
Basin Bridge,2024-12,4
Basin Bridge,2025-01,4
Basin Bridge,2025-02,4
Basin Bridge,2025-03,4
Basin Bridge,2025-04,4
Basin Bridge,2025-05,4
Basin Bridge,2025-06,5
Basin Bridge,2025-07,4
Basin Bridge,2025-08,4
Basin Bridge,2025-09,5
Basin Bridge,2025-10,4
Chepauk,2023-01,10
Chepauk,2023-02,10
Chepauk,2023-03,9
Chepauk,2023-04,9
Chepauk,2023-05,9
Chepauk,2023-06,9
Chepauk,2023-07,9
Chepauk,2023-08,9
Chepauk,2023-09,8
Chepauk,2023-10,8
Chepauk,2023-11,8
Chepauk,2023-12,7
Chepauk,2024-01,6
Chepauk,2024-02,6
Chepauk,2024-03,5
Chepauk,2024-04,5
Chepauk,2024-05,5
Chepauk,2024-06,4
Chepauk,2024-07,4
Chepauk,2024-08,5
Chepauk,2024-09,5
Chepauk,2024-10,4
Chepauk,2024-11,5
Chepauk,2024-12,4
Chepauk,2025-01,4
Chepauk,2025-02,4
Chepauk,2025-03,4
Chepauk,2025-04,4
Chepauk,2025-05,5
Chepauk,2025-06,4
Chepauk,2025-07,4
Chepauk,2025-08,4
Chepauk,2025-09,4
Chepauk,2025-10,4
Chetput,2023-01,10
Chetput,2023-02,10
Chetput,2023-03,9
Chetput,2023-04,8
Chetput,2023-05,8
Chetput,2023-06,8
Chetput,2023-07,8
Chetput,2023-08,7
Chetput,2023-09,6
Chetput,2023-10,5
Chetput,2023-11,4
Chetput,2023-12,4
Chetput,2024-01,4
Chetput,2024-02,4
Chetput,2024-03,4
Chetput,2024-04,4
Chetput,2024-05,4
Chetput,2024-06,4
Chetput,2024-07,4
Chetput,2024-08,4
Chetput,2024-09,4
Chetput,2024-10,4
Chetput,2024-11,4
Chetput,2024-12,4
Chetput,2025-01,4
Chetput,2025-02,4
Chetput,2025-03,4
Chetput,2025-04,4
Chetput,2025-05,4
Chetput,2025-06,5
Chetput,2025-07,4
Chetput,2025-08,4
Chetput,2025-09,4
Chetput,2025-10,4
Chintadripet,2023-01,9
Chintadripet,2023-02,9
Chintadripet,2023-03,9
Chintadripet,2023-04,9
Chintadripet,2023-05,8
Chintadripet,2023-06,8
Chintadripet,2023-07,7
Chintadripet,2023-08,6
Chintadripet,2023-09,6
Chintadripet,2023-10,5
Chintadripet,2023-11,4
Chintadripet,2023-12,4
Chintadripet,2024-01,4
Chintadripet,2024-02,4
Chintadripet,2024-03,5
Chintadripet,2024-04,5
Chintadripet,2024-05,4
Chintadripet,2024-06,4
Chintadripet,2024-07,5
Chintadripet,2024-08,4
Chintadripet,2024-09,5
Chintadripet,2024-10,4
Chintadripet,2024-11,5
Chintadripet,2024-12,4
Chintadripet,2025-01,5
Chintadripet,2025-02,4
Chintadripet,2025-03,5
Chintadripet,2025-04,5
Chintadripet,2025-05,4
Chintadripet,2025-06,4
Chintadripet,2025-07,4
Chintadripet,2025-08,5
Chintadripet,2025-09,5
Chintadripet,2025-10,4
Chitlapakkam,2023-01,12
Chitlapakkam,2023-02,11
Chitlapakkam,2023-03,10
Chitlapakkam,2023-04,9
Chitlapakkam,2023-05,8
Chitlapakkam,2023-06,8
Chitlapakkam,2023-07,8
Chitlapakkam,2023-08,7
Chitlapakkam,2023-09,7
Chitlapakkam,2023-10,7
Chitlapakkam,2023-11,6
Chitlapakkam,2023-12,5
Chitlapakkam,2024-01,4
Chitlapakkam,2024-02,5
Chitlapakkam,2024-03,4
Chitlapakkam,2024-04,5
Chitlapakkam,2024-05,4
Chitlapakkam,2024-06,4
Chitlapakkam,2024-07,4
Chitlapakkam,2024-08,4
Chitlapakkam,2024-09,4
Chitlapakkam,2024-10,4
Chitlapakkam,2024-11,5
Chitlapakkam,2024-12,5
Chitlapakkam,2025-01,5
Chitlapakkam,2025-02,5
Chitlapakkam,2025-03,5
Chitlapakkam,2025-04,4
Chitlapakkam,2025-05,4
Chitlapakkam,2025-06,4
Chitlapakkam,2025-07,5
Chitlapakkam,2025-08,4
Chitlapakkam,2025-09,4
Chitlapakkam,2025-10,4
Choolai,2023-01,10
Choolai,2023-02,9
Choolai,2023-03,8
Choolai,2023-04,8
Choolai,2023-05,8
Choolai,2023-06,7
Choolai,2023-07,7
Choolai,2023-08,6
Choolai,2023-09,5
Choolai,2023-10,4
Choolai,2023-11,4
Choolai,2023-12,4
Choolai,2024-01,4
Choolai,2024-02,5
Choolai,2024-03,4
Choolai,2024-04,4
Choolai,2024-05,5
Choolai,2024-06,4
Choolai,2024-07,4
Choolai,2024-08,4
Choolai,2024-09,5
Choolai,2024-10,5
Choolai,2024-11,5
Choolai,2024-12,4
Choolai,2025-01,4
Choolai,2025-02,4
Choolai,2025-03,4
Choolai,2025-04,4
Choolai,2025-05,4
Choolai,2025-06,4
Choolai,2025-07,4
Choolai,2025-08,5
Choolai,2025-09,4
Choolai,2025-10,4
Choolaimedu,2023-01,9
Choolaimedu,2023-02,8
Choolaimedu,2023-03,7
Choolaimedu,2023-04,6
Choolaimedu,2023-05,5
Choolaimedu,2023-06,4
Choolaimedu,2023-07,5
Choolaimedu,2023-08,4
Choolaimedu,2023-09,4
Choolaimedu,2023-10,4
Choolaimedu,2023-11,4
Choolaimedu,2023-12,4
Choolaimedu,2024-01,4
Choolaimedu,2024-02,4
Choolaimedu,2024-03,4
Choolaimedu,2024-04,4
Choolaimedu,2024-05,4
Choolaimedu,2024-06,4
Choolaimedu,2024-07,4
Choolaimedu,2024-08,4
Choolaimedu,2024-09,4
Choolaimedu,2024-10,5
Choolaimedu,2024-11,4
Choolaimedu,2024-12,5
Choolaimedu,2025-01,5
Choolaimedu,2025-02,4
Choolaimedu,2025-03,4
Choolaimedu,2025-04,4
Choolaimedu,2025-05,5
Choolaimedu,2025-06,4
Choolaimedu,2025-07,4
Choolaimedu,2025-08,4
Choolaimedu,2025-09,4
Choolaimedu,2025-10,4
Chrompet,2023-01,14
Chrompet,2023-02,14
Chrompet,2023-03,14
Chrompet,2023-04,14
Chrompet,2023-05,13
Chrompet,2023-06,12
Chrompet,2023-07,11
Chrompet,2023-08,11
Chrompet,2023-09,10
Chrompet,2023-10,10
Chrompet,2023-11,9
Chrompet,2023-12,8
Chrompet,2024-01,7
Chrompet,2024-02,7
Chrompet,2024-03,7
Chrompet,2024-04,6
Chrompet,2024-05,5
Chrompet,2024-06,4
Chrompet,2024-07,5
Chrompet,2024-08,4
Chrompet,2024-09,4
Chrompet,2024-10,4
Chrompet,2024-11,4
Chrompet,2024-12,5
Chrompet,2025-01,4
Chrompet,2025-02,4
Chrompet,2025-03,4
Chrompet,2025-04,4
Chrompet,2025-05,4
Chrompet,2025-06,4
Chrompet,2025-07,4
Chrompet,2025-08,4
Chrompet,2025-09,5
Chrompet,2025-10,4
Egmore,2023-01,10
Egmore,2023-02,10
Egmore,2023-03,10
Egmore,2023-04,9
Egmore,2023-05,8
Egmore,2023-06,7
Egmore,2023-07,6
Egmore,2023-08,6
Egmore,2023-09,5
Egmore,2023-10,5
Egmore,2023-11,4
Egmore,2023-12,5
Egmore,2024-01,5
Egmore,2024-02,4
Egmore,2024-03,4
Egmore,2024-04,4
Egmore,2024-05,5
Egmore,2024-06,4
Egmore,2024-07,4
Egmore,2024-08,5
Egmore,2024-09,5
Egmore,2024-10,4
Egmore,2024-11,4
Egmore,2024-12,4
Egmore,2025-01,4
Egmore,2025-02,4
Egmore,2025-03,4
Egmore,2025-04,4
Egmore,2025-05,4
Egmore,2025-06,4
Egmore,2025-07,4
Egmore,2025-08,5
Egmore,2025-09,4
Egmore,2025-10,4
Ekkaduthangal,2023-01,10
Ekkaduthangal,2023-02,9
Ekkaduthangal,2023-03,9
Ekkaduthangal,2023-04,9
Ekkaduthangal,2023-05,8
Ekkaduthangal,2023-06,8
Ekkaduthangal,2023-07,8
Ekkaduthangal,2023-08,8
Ekkaduthangal,2023-09,8
Ekkaduthangal,2023-10,7
Ekkaduthangal,2023-11,6
Ekkaduthangal,2023-12,6
Ekkaduthangal,2024-01,6
Ekkaduthangal,2024-02,6
Ekkaduthangal,2024-03,6
Ekkaduthangal,2024-04,5
Ekkaduthangal,2024-05,5
Ekkaduthangal,2024-06,4
Ekkaduthangal,2024-07,4
Ekkaduthangal,2024-08,4
Ekkaduthangal,2024-09,4
Ekkaduthangal,2024-10,4
Ekkaduthangal,2024-11,4
Ekkaduthangal,2024-12,4
Ekkaduthangal,2025-01,4
Ekkaduthangal,2025-02,4
Ekkaduthangal,2025-03,5
Ekkaduthangal,2025-04,5
Ekkaduthangal,2025-05,4
Ekkaduthangal,2025-06,4
Ekkaduthangal,2025-07,4
Ekkaduthangal,2025-08,4
Ekkaduthangal,2025-09,4
Ekkaduthangal,2025-10,4
Eranavur,2023-01,10
Eranavur,2023-02,10
Eranavur,2023-03,9
Eranavur,2023-04,9
Eranavur,2023-05,8
Eranavur,2023-06,7
Eranavur,2023-07,7
Eranavur,2023-08,6
Eranavur,2023-09,5
Eranavur,2023-10,4
Eranavur,2023-11,5
Eranavur,2023-12,5
Eranavur,2024-01,4
Eranavur,2024-02,4
Eranavur,2024-03,4
Eranavur,2024-04,4
Eranavur,2024-05,4
Eranavur,2024-06,5
Eranavur,2024-07,4
Eranavur,2024-08,4
Eranavur,2024-09,4
Eranavur,2024-10,4
Eranavur,2024-11,5
Eranavur,2024-12,5
Eranavur,2025-01,5
Eranavur,2025-02,4
Eranavur,2025-03,4
Eranavur,2025-04,4
Eranavur,2025-05,4
Eranavur,2025-06,4
Eranavur,2025-07,4
Eranavur,2025-08,4
Eranavur,2025-09,4
Eranavur,2025-10,4
Ennore,2023-01,17
Ennore,2023-02,15
Ennore,2023-03,15
Ennore,2023-04,15
Ennore,2023-05,14
Ennore,2023-06,14
Ennore,2023-07,14
Ennore,2023-08,13
Ennore,2023-09,12
Ennore,2023-10,12
Ennore,2023-11,11
Ennore,2023-12,11
Ennore,2024-01,11
Ennore,2024-02,10
Ennore,2024-03,9
Ennore,2024-04,9
Ennore,2024-05,8
Ennore,2024-06,8
Ennore,2024-07,7
Ennore,2024-08,6
Ennore,2024-09,6
Ennore,2024-10,5
Ennore,2024-11,4
Ennore,2024-12,5
Ennore,2025-01,4
Ennore,2025-02,4
Ennore,2025-03,4
Ennore,2025-04,4
Ennore,2025-05,5
Ennore,2025-06,5
Ennore,2025-07,4
Ennore,2025-08,4
Ennore,2025-09,5
Ennore,2025-10,5
Foreshore Estate,2023-01,9
Foreshore Estate,2023-02,8
Foreshore Estate,2023-03,7
Foreshore Estate,2023-04,7
Foreshore Estate,2023-05,7
Foreshore Estate,2023-06,7
Foreshore Estate,2023-07,6
Foreshore Estate,2023-08,5
Foreshore Estate,2023-09,4
Foreshore Estate,2023-10,4
Foreshore Estate,2023-11,4
Foreshore Estate,2023-12,4
Foreshore Estate,2024-01,4
Foreshore Estate,2024-02,4
Foreshore Estate,2024-03,4
Foreshore Estate,2024-04,4
Foreshore Estate,2024-05,4
Foreshore Estate,2024-06,4
Foreshore Estate,2024-07,4
Foreshore Estate,2024-08,4
Foreshore Estate,2024-09,5
Foreshore Estate,2024-10,4
Foreshore Estate,2024-11,4
Foreshore Estate,2024-12,4
Foreshore Estate,2025-01,4
Foreshore Estate,2025-02,5
Foreshore Estate,2025-03,4
Foreshore Estate,2025-04,4
Foreshore Estate,2025-05,4
Foreshore Estate,2025-06,4
Foreshore Estate,2025-07,4
Foreshore Estate,2025-08,4
Foreshore Estate,2025-09,4
Foreshore Estate,2025-10,4
Fort St. George,2023-01,10
Fort St. George,2023-02,9
Fort St. George,2023-03,8
Fort St. George,2023-04,7
Fort St. George,2023-05,7
Fort St. George,2023-06,7
Fort St. George,2023-07,7
Fort St. George,2023-08,7
Fort St. George,2023-09,6
Fort St. George,2023-10,6
Fort St. George,2023-11,5
Fort St. George,2023-12,5
