Area,Date,RentalsAvailable
Arumbakkam,2024-12,333
Arumbakkam,2025-01,326
Arumbakkam,2025-02,315
Arumbakkam,2025-03,326
Arumbakkam,2025-04,307
Arumbakkam,2025-05,314
Arumbakkam,2025-06,311
Arumbakkam,2025-07,338
Arumbakkam,2025-08,318
Arumbakkam,2025-09,312
Arumbakkam,2025-10,334
Ashok Nagar,2023-01,250
Ashok Nagar,2023-02,252
Ashok Nagar,2023-03,268
Ashok Nagar,2023-04,273
Ashok Nagar,2023-05,250
Ashok Nagar,2023-06,254
Ashok Nagar,2023-07,273
Ashok Nagar,2023-08,277
Ashok Nagar,2023-09,267
Ashok Nagar,2023-10,259
Ashok Nagar,2023-11,274
Ashok Nagar,2023-12,280
Ashok Nagar,2024-01,275
Ashok Nagar,2024-02,267
Ashok Nagar,2024-03,256
Ashok Nagar,2024-04,274
Ashok Nagar,2024-05,276
Ashok Nagar,2024-06,269
Ashok Nagar,2024-07,263
Ashok Nagar,2024-08,270
Ashok Nagar,2024-09,270
Ashok Nagar,2024-10,282
Ashok Nagar,2024-11,279
Ashok Nagar,2024-12,269
Ashok Nagar,2025-01,272
Ashok Nagar,2025-02,276
Ashok Nagar,2025-03,287
Ashok Nagar,2025-04,270
Ashok Nagar,2025-05,271
Ashok Nagar,2025-06,282
Ashok Nagar,2025-07,291
Ashok Nagar,2025-08,290
Ashok Nagar,2025-09,269
Ashok Nagar,2025-10,283
Avadi,2023-01,262
Avadi,2023-02,258
Avadi,2023-03,268
Avadi,2023-04,258
Avadi,2023-05,248
Avadi,2023-06,254
Avadi,2023-07,259
Avadi,2023-08,272
Avadi,2023-09,260
Avadi,2023-10,259
Avadi,2023-11,269
Avadi,2023-12,252
Avadi,2024-01,274
Avadi,2024-02,274
Avadi,2024-03,267
Avadi,2024-04,270
Avadi,2024-05,267
Avadi,2024-06,257
Avadi,2024-07,277
Avadi,2024-08,281
Avadi,2024-09,275
Avadi,2024-10,271
Avadi,2024-11,274
Avadi,2024-12,285
Avadi,2025-01,266
Avadi,2025-02,275
Avadi,2025-03,279
Avadi,2025-04,287
Avadi,2025-05,264
Avadi,2025-06,278
Avadi,2025-07,263
Avadi,2025-08,270
Avadi,2025-09,276
Avadi,2025-10,289
Ayanavaram,2023-01,243
Ayanavaram,2023-02,243
Ayanavaram,2023-03,237
Ayanavaram,2023-04,248
Ayanavaram,2023-05,236
Ayanavaram,2023-06,236
Ayanavaram,2023-07,242
Ayanavaram,2023-08,240
Ayanavaram,2023-09,256
Ayanavaram,2023-10,250
Ayanavaram,2023-11,260
Ayanavaram,2023-12,257
Ayanavaram,2024-01,239
Ayanavaram,2024-02,246
Ayanavaram,2024-03,258
Ayanavaram,2024-04,249
Ayanavaram,2024-05,242
Ayanavaram,2024-06,257
Ayanavaram,2024-07,265
Ayanavaram,2024-08,259
Ayanavaram,2024-09,250
Ayanavaram,2024-10,251
Ayanavaram,2024-11,245
Ayanavaram,2024-12,265
Ayanavaram,2025-01,260
Ayanavaram,2025-02,246
Ayanavaram,2025-03,250
Ayanavaram,2025-04,266
Ayanavaram,2025-05,262
Ayanavaram,2025-06,266
Ayanavaram,2025-07,250
Ayanavaram,2025-08,257
Ayanavaram,2025-09,252
Ayanavaram,2025-10,269
Beemannapettai,2023-01,290
Beemannapettai,2023-02,295
Beemannapettai,2023-03,299
Beemannapettai,2023-04,283
Beemannapettai,2023-05,281
Beemannapettai,2023-06,298
Beemannapettai,2023-07,289
Beemannapettai,2023-08,288
Beemannapettai,2023-09,295
Beemannapettai,2023-10,284
Beemannapettai,2023-11,296
Beemannapettai,2023-12,301
Beemannapettai,2024-01,308
Beemannapettai,2024-02,309
Beemannapettai,2024-03,302
Beemannapettai,2024-04,310
Beemannapettai,2024-05,295
Beemannapettai,2024-06,291
Beemannapettai,2024-07,302
Beemannapettai,2024-08,315
Beemannapettai,2024-09,312
Beemannapettai,2024-10,298
Beemannapettai,2024-11,295
Beemannapettai,2024-12,308
Beemannapettai,2025-01,301
Beemannapettai,2025-02,324
Beemannapettai,2025-03,298
Beemannapettai,2025-04,306
Beemannapettai,2025-05,311
Beemannapettai,2025-06,305
Beemannapettai,2025-07,307
Beemannapettai,2025-08,306
Beemannapettai,2025-09,312
Beemannapettai,2025-10,326
Besant Nagar,2023-01,331
Besant Nagar,2023-02,324
Besant Nagar,2023-03,348
Besant Nagar,2023-04,338
Besant Nagar,2023-05,335
Besant Nagar,2023-06,325
Besant Nagar,2023-07,340
Besant Nagar,2023-08,344
Besant Nagar,2023-09,337
Besant Nagar,2023-10,353
Besant Nagar,2023-11,338
Besant Nagar,2023-12,351
Besant Nagar,2024-01,356
Besant Nagar,2024-02,365
Besant Nagar,2024-03,354
Besant Nagar,2024-04,332
Besant Nagar,2024-05,350
Besant Nagar,2024-06,360
Besant Nagar,2024-07,352
Besant Nagar,2024-08,365
Besant Nagar,2024-09,362
Besant Nagar,2024-10,367
Besant Nagar,2024-11,355
Besant Nagar,2024-12,364
Besant Nagar,2025-01,344
Besant Nagar,2025-02,355
Besant Nagar,2025-03,374
Besant Nagar,2025-04,347
Besant Nagar,2025-05,363
Besant Nagar,2025-06,370
Besant Nagar,2025-07,364
Besant Nagar,2025-08,348
Besant Nagar,2025-09,357
Besant Nagar,2025-10,347
Basin Bridge,2023-01,242
Basin Bridge,2023-02,242
Basin Bridge,2023-03,245
Basin Bridge,2023-04,244
Basin Bridge,2023-05,228
Basin Bridge,2023-06,233
Basin Bridge,2023-07,228
Basin Bridge,2023-08,252
Basin Bridge,2023-09,236
Basin Bridge,2023-10,236
Basin Bridge,2023-11,241
Basin Bridge,2023-12,234
Basin Bridge,2024-01,245
Basin Bridge,2024-02,252
Basin Bridge,2024-03,236
Basin Bridge,2024-04,254
Basin Bridge,2024-05,258
Basin Bridge,2024-06,247
Basin Bridge,2024-07,245
Basin Bridge,2024-08,260
Basin Bridge,2024-09,248
Basin Bridge,2024-10,245
Basin Bridge,2024-11,242
Basin Bridge,2024-12,262
Basin Bridge,2025-01,263
Basin Bridge,2025-02,240
Basin Bridge,2025-03,264
Basin Bridge,2025-04,254
Basin Bridge,2025-05,252
Basin Bridge,2025-06,260
Basin Bridge,2025-07,251
Basin Bridge,2025-08,252
Basin Bridge,2025-09,249
Basin Bridge,2025-10,258
Chepauk,2023-01,312
Chepauk,2023-02,306
Chepauk,2023-03,314
Chepauk,2023-04,304
Chepauk,2023-05,310
Chepauk,2023-06,325
Chepauk,2023-07,302
Chepauk,2023-08,326
Chepauk,2023-09,307
Chepauk,2023-10,326
Chepauk,2023-11,321
Chepauk,2023-12,305
Chepauk,2024-01,306
Chepauk,2024-02,311
Chepauk,2024-03,307
Chepauk,2024-04,305
Chepauk,2024-05,328
Chepauk,2024-06,314
Chepauk,2024-07,316
Chepauk,2024-08,321
Chepauk,2024-09,327
Chepauk,2024-10,340
Chepauk,2024-11,334
Chepauk,2024-12,337
Chepauk,2025-01,328
Chepauk,2025-02,317
Chepauk,2025-03,339
Chepauk,2025-04,318
Chepauk,2025-05,326
Chepauk,2025-06,341
Chepauk,2025-07,346
Chepauk,2025-08,324
Chepauk,2025-09,323
Chepauk,2025-10,338
Chetput,2023-01,391
Chetput,2023-02,399
Chetput,2023-03,384
Chetput,2023-04,407
Chetput,2023-05,403
Chetput,2023-06,378
Chetput,2023-07,399
Chetput,2023-08,415
Chetput,2023-09,398
Chetput,2023-10,399
Chetput,2023-11,399
Chetput,2023-12,405
Chetput,2024-01,399
Chetput,2024-02,407
Chetput,2024-03,419
Chetput,2024-04,400
Chetput,2024-05,421
Chetput,2024-06,397
Chetput,2024-07,417
Chetput,2024-08,415
Chetput,2024-09,398
Chetput,2024-10,392
Chetput,2024-11,401
Chetput,2024-12,407
Chetput,2025-01,400
Chetput,2025-02,425
Chetput,2025-03,427
Chetput,2025-04,404
Chetput,2025-05,428
Chetput,2025-06,424
Chetput,2025-07,421
Chetput,2025-08,406
Chetput,2025-09,417
Chetput,2025-10,437
Chintadripet,2023-01,306
Chintadripet,2023-02,303
Chintadripet,2023-03,291
Chintadripet,2023-04,309
Chintadripet,2023-05,297
Chintadripet,2023-06,286
Chintadripet,2023-07,299
Chintadripet,2023-08,290
Chintadripet,2023-09,298
Chintadripet,2023-10,312
Chintadripet,2023-11,298
Chintadripet,2023-12,292
Chintadripet,2024-01,316
Chintadripet,2024-02,316
Chintadripet,2024-03,309
Chintadripet,2024-04,318
Chintadripet,2024-05,298
Chintadripet,2024-06,305
Chintadripet,2024-07,299
Chintadripet,2024-08,317
Chintadripet,2024-09,313
Chintadripet,2024-10,321
Chintadripet,2024-11,319
Chintadripet,2024-12,321
Chintadripet,2025-01,322
Chintadripet,2025-02,315
Chintadripet,2025-03,311
Chintadripet,2025-04,321
Chintadripet,2025-05,322
Chintadripet,2025-06,318
Chintadripet,2025-07,313
Chintadripet,2025-08,310
Chintadripet,2025-09,335
Chintadripet,2025-10,306
Chitlapakkam,2023-01,241
Chitlapakkam,2023-02,242
Chitlapakkam,2023-03,238
Chitlapakkam,2023-04,257
Chitlapakkam,2023-05,252
Chitlapakkam,2023-06,250
Chitlapakkam,2023-07,240
Chitlapakkam,2023-08,248
Chitlapakkam,2023-09,243
Chitlapakkam,2023-10,243
Chitlapakkam,2023-11,264
Chitlapakkam,2023-12,258
Chitlapakkam,2024-01,252
Chitlapakkam,2024-02,250
Chitlapakkam,2024-03,256
Chitlapakkam,2024-04,264
Chitlapakkam,2024-05,267
Chitlapakkam,2024-06,263
Chitlapakkam,2024-07,250
Chitlapakkam,2024-08,271
Chitlapakkam,2024-09,257
Chitlapakkam,2024-10,265
Chitlapakkam,2024-11,261
Chitlapakkam,2024-12,256
Chitlapakkam,2025-01,274
Chitlapakkam,2025-02,268
Chitlapakkam,2025-03,266
Chitlapakkam,2025-04,272
Chitlapakkam,2025-05,275
Chitlapakkam,2025-06,266
Chitlapakkam,2025-07,261
Chitlapakkam,2025-08,266
Chitlapakkam,2025-09,279
Chitlapakkam,2025-10,262
Choolai,2023-01,265
Choolai,2023-02,282
Choolai,2023-03,288
Choolai,2023-04,270
Choolai,2023-05,290
Choolai,2023-06,273
Choolai,2023-07,275
Choolai,2023-08,270
Choolai,2023-09,270
Choolai,2023-10,291
Choolai,2023-11,277
Choolai,2023-12,276
Choolai,2024-01,283
Choolai,2024-02,279
Choolai,2024-03,278
Choolai,2024-04,294
Choolai,2024-05,286
Choolai,2024-06,287
Choolai,2024-07,299
Choolai,2024-08,286
Choolai,2024-09,277
Choolai,2024-10,296
Choolai,2024-11,303
Choolai,2024-12,299
Choolai,2025-01,292
Choolai,2025-02,279
Choolai,2025-03,304
Choolai,2025-04,305
Choolai,2025-05,308
Choolai,2025-06,288
Choolai,2025-07,312
Choolai,2025-08,307
Choolai,2025-09,288
Choolai,2025-10,308
Choolaimedu,2023-01,275
Choolaimedu,2023-02,266
Choolaimedu,2023-03,277
Choolaimedu,2023-04,276
Choolaimedu,2023-05,259
Choolaimedu,2023-06,263
Choolaimedu,2023-07,264
Choolaimedu,2023-08,260
Choolaimedu,2023-09,278
Choolaimedu,2023-10,269
Choolaimedu,2023-11,280
Choolaimedu,2023-12,260
Choolaimedu,2024-01,282
Choolaimedu,2024-02,280
Choolaimedu,2024-03,288
Choolaimedu,2024-04,265
Choolaimedu,2024-05,266
Choolaimedu,2024-06,285
Choolaimedu,2024-07,285
Choolaimedu,2024-08,282
Choolaimedu,2024-09,275
Choolaimedu,2024-10,290
Choolaimedu,2024-11,268
Choolaimedu,2024-12,272
Choolaimedu,2025-01,288
Choolaimedu,2025-02,292
Choolaimedu,2025-03,283
Choolaimedu,2025-04,282
Choolaimedu,2025-05,277
Choolaimedu,2025-06,276
Choolaimedu,2025-07,292
Choolaimedu,2025-08,289
Choolaimedu,2025-09,291
Choolaimedu,2025-10,300
Chrompet,2023-01,309
Chrompet,2023-02,338
Chrompet,2023-03,320
Chrompet,2023-04,343
Chrompet,2023-05,342
Chrompet,2023-06,330
Chrompet,2023-07,343
Chrompet,2023-08,345
Chrompet,2023-09,336
Chrompet,2023-10,317
Chrompet,2023-11,333
Chrompet,2023-12,322
Chrompet,2024-01,326
Chrompet,2024-02,319
Chrompet,2024-03,351
Chrompet,2024-04,331
Chrompet,2024-05,342
Chrompet,2024-06,350
Chrompet,2024-07,324
Chrompet,2024-08,332
Chrompet,2024-09,326
Chrompet,2024-10,336
Chrompet,2024-11,347
Chrompet,2024-12,332
Chrompet,2025-01,345
Chrompet,2025-02,349
Chrompet,2025-03,339
Chrompet,2025-04,357
Chrompet,2025-05,364
Chrompet,2025-06,333
Chrompet,2025-07,345
Chrompet,2025-08,342
Chrompet,2025-09,356
Chrompet,2025-10,342
Egmore,2023-01,365
Egmore,2023-02,364
Egmore,2023-03,358
Egmore,2023-04,361
Egmore,2023-05,372
Egmore,2023-06,341
Egmore,2023-07,350
Egmore,2023-08,366
Egmore,2023-09,345
Egmore,2023-10,372
Egmore,2023-11,358
Egmore,2023-12,376
Egmore,2024-01,377
Egmore,2024-02,351
Egmore,2024-03,377
Egmore,2024-04,353
Egmore,2024-05,359
Egmore,2024-06,370
Egmore,2024-07,354
Egmore,2024-08,358
Egmore,2024-09,371
Egmore,2024-10,386
Egmore,2024-11,355
Egmore,2024-12,387
Egmore,2025-01,384
Egmore,2025-02,356
Egmore,2025-03,388
Egmore,2025-04,392
Egmore,2025-05,371
Egmore,2025-06,388
Egmore,2025-07,377
Egmore,2025-08,392
Egmore,2025-09,389
Egmore,2025-10,366
Ekkaduthangal,2023-01,247
Ekkaduthangal,2023-02,250
Ekkaduthangal,2023-03,250
Ekkaduthangal,2023-04,241
Ekkaduthangal,2023-05,254
Ekkaduthangal,2023-06,259
Ekkaduthangal,2023-07,240
Ekkaduthangal,2023-08,241
Ekkaduthangal,2023-09,247
Ekkaduthangal,2023-10,248
Ekkaduthangal,2023-11,261
Ekkaduthangal,2023-12,244
Ekkaduthangal,2024-01,241
Ekkaduthangal,2024-02,247
Ekkaduthangal,2024-03,246
Ekkaduthangal,2024-04,258
Ekkaduthangal,2024-05,260
Ekkaduthangal,2024-06,250
Ekkaduthangal,2024-07,256
Ekkaduthangal,2024-08,269
Ekkaduthangal,2024-09,245
Ekkaduthangal,2024-10,267
Ekkaduthangal,2024-11,263
Ekkaduthangal,2024-12,265
Ekkaduthangal,2025-01,271
Ekkaduthangal,2025-02,262
Ekkaduthangal,2025-03,255
Ekkaduthangal,2025-04,255
Ekkaduthangal,2025-05,271
Ekkaduthangal,2025-06,253
Ekkaduthangal,2025-07,264
Ekkaduthangal,2025-08,267
Ekkaduthangal,2025-09,271
Ekkaduthangal,2025-10,279
Eranavur,2023-01,195
Eranavur,2023-02,212
Eranavur,2023-03,213
Eranavur,2023-04,199
Eranavur,2023-05,201
Eranavur,2023-06,203
Eranavur,2023-07,211
Eranavur,2023-08,205
Eranavur,2023-09,199
Eranavur,2023-10,205
Eranavur,2023-11,208
Eranavur,2023-12,201
Eranavur,2024-01,200
Eranavur,2024-02,216
Eranavur,2024-03,199
Eranavur,2024-04,206
Eranavur,2024-05,217
Eranavur,2024-06,215
Eranavur,2024-07,217
Eranavur,2024-08,215
Eranavur,2024-09,213
Eranavur,2024-10,221
Eranavur,2024-11,214
Eranavur,2024-12,215
Eranavur,2025-01,218
Eranavur,2025-02,207
Eranavur,2025-03,205
Eranavur,2025-04,214
Eranavur,2025-05,208
Eranavur,2025-06,227
Eranavur,2025-07,209
Eranavur,2025-08,211
Eranavur,2025-09,226
Eranavur,2025-10,218
Ennore,2023-01,191
Ennore,2023-02,186
Ennore,2023-03,189
Ennore,2023-04,192
Ennore,2023-05,187
Ennore,2023-06,193
Ennore,2023-07,199
Ennore,2023-08,186
Ennore,2023-09,197
Ennore,2023-10,200
Ennore,2023-11,202
Ennore,2023-12,203
Ennore,2024-01,194
Ennore,2024-02,188
Ennore,2024-03,189
Ennore,2024-04,202
Ennore,2024-05,193
Ennore,2024-06,199
Ennore,2024-07,205
Ennore,2024-08,205
Ennore,2024-09,208
Ennore,2024-10,202
Ennore,2024-11,198
Ennore,2024-12,205
Ennore,2025-01,192
Ennore,2025-02,195
Ennore,2025-03,194
Ennore,2025-04,213
Ennore,2025-05,197
Ennore,2025-06,205
Ennore,2025-07,199
Ennore,2025-08,214
Ennore,2025-09,208
Ennore,2025-10,196
Foreshore Estate,2023-01,298
Foreshore Estate,2023-02,289
Foreshore Estate,2023-03,291
Foreshore Estate,2023-04,289
Foreshore Estate,2023-05,305
Foreshore Estate,2023-06,286
Foreshore Estate,2023-07,287
Foreshore Estate,2023-08,308
Foreshore Estate,2023-09,298
Foreshore Estate,2023-10,288
Foreshore Estate,2023-11,300
Foreshore Estate,2023-12,308
Foreshore Estate,2024-01,289
Foreshore Estate,2024-02,306
Foreshore Estate,2024-03,302
Foreshore Estate,2024-04,304
Foreshore Estate,2024-05,300
Foreshore Estate,2024-06,322
Foreshore Estate,2024-07,304
Foreshore Estate,2024-08,315
Foreshore Estate,2024-09,314
Foreshore Estate,2024-10,306
Foreshore Estate,2024-11,297
Foreshore Estate,2024-12,316
Foreshore Estate,2025-01,319
Foreshore Estate,2025-02,302
Foreshore Estate,2025-03,305
Foreshore Estate,2025-04,309
Foreshore Estate,2025-05,320
Foreshore Estate,2025-06,308
Foreshore Estate,2025-07,310
Foreshore Estate,2025-08,321
Foreshore Estate,2025-09,310
Foreshore Estate,2025-10,335
Fort St. George,2023-01,322
Fort St. George,2023-02,341
Fort St. George,2023-03,344
Fort St. George,2023-04,325
Fort St. George,2023-05,315
Fort St. George,2023-06,324
Fort St. George,2023-07,341
Fort St. George,2023-08,336
Fort St. George,2023-09,326
Fort St. George,2023-10,351
Fort St. George,2023-11,321
